GEO.id,Id
HD02_VD36,Margin of Error; Total: - Foreign born: - Speak Spanish:
HD01_VD37,"Estimate; Total: - Foreign born: - Speak Spanish: - Speak English ""very well"""
HD02_VD37,"Margin of Error; Total: - Foreign born: - Speak Spanish: - Speak English ""very well"""
HD01_VD38,"Estimate; Total: - Foreign born: - Speak Spanish: - Speak English less than ""very well"""
HD02_VD38,"Margin of Error; Total: - Foreign born: - Speak Spanish: - Speak English less than ""very well"""
HD01_VD39,Estimate; Total: - Foreign born: - Speak other languages:
HD02_VD39,Margin of Error; Total: - Foreign born: - Speak other languages:
HD01_VD40,"Estimate; Total: - Foreign born: - Speak other languages: - Speak English ""very well"""
HD02_VD40,"Margin of Error; Total: - Foreign born: - Speak other languages: - Speak English ""very well"""
HD01_VD41,"Estimate; Total: - Foreign born: - Speak other languages: - Speak English less than ""very well"""
HD02_VD41,"Margin of Error; Total: - Foreign born: - Speak other languages: - Speak English less than ""very well"""
